,gene,sg^Ind1^Rep1^CellType
776,gene-975,-9.83013843531124
777,gene-977,-8.690248711388605
778,gene-978,-10.588955822105607
779,gene-979,-10.211019991414455
780,gene-980,-11.29313852849343
781,gene-981,-10.588441036254737
782,gene-982,-10.28321417122231
783,gene-983,-10.598713291488195
784,gene-984,-8.307491079312962
785,gene-985,-9.564546703660058
786,gene-986,-10.494843508622719
787,gene-987,-10.43375519274602
788,gene-988,-9.427726681309844
789,gene-989,-9.650458370276047
790,gene-990,-9.974493398215763
791,gene-991,-10.363765176165964
792,gene-992,-9.062001482128569
793,gene-993,-9.186599812980017
794,gene-994,-8.781032911699063
795,gene-995,-9.1961225349455
796,gene-996,-9.49416768672145
797,gene-997,-9.078711729893037
798,gene-998,-10.654508487086439
799,gene-999,-10.677525890790289
800,gene-1000,-7.696830575746093
801,gene-1001,-9.95758575098762
802,gene-1003,-11.078014514805608
803,gene-1004,-9.191668585767534
804,gene-1005,-7.731247470646661
805,gene-1006,-10.567240692148486
806,gene-1007,-10.419308226626962
807,gene-1008,-9.908597225867712
808,gene-1009,-10.776363986895818
809,gene-1010,-10.860934318227649
810,gene-1011,-11.451214806811585
811,gene-1013,-9.796832629798628
812,gene-1014,-9.767002665651143
813,gene-1015,-9.26638675118939
814,gene-1016,-7.191295054617989
815,gene-1018,-7.427655082249162
816,gene-1020,-11.191998832381037
817,gene-1021,-11.155996692488856
818,gene-1024,-9.667084233633979
819,gene-1025,-11.197139033553496
820,gene-1026,-10.028437645763654
821,gene-1027,-9.413428652422846
822,gene-1028,-10.84916491876505
823,gene-1029,-10.336401223120188
824,gene-1030,-6.706088149706229
825,gene-1031,-9.416002797106367
826,gene-1032,-10.408491172330217
827,gene-1033,-10.043604251174058
828,gene-1034,-9.876678520197723
829,gene-1035,-11.235985231743598
830,gene-1036,-10.680039041203235
831,gene-1037,-9.801123463493614
832,gene-1038,-9.70154468240389
833,gene-1039,-9.757568557742008
834,gene-1040,-10.888666982164525
835,gene-1041,-10.04150342718692
