gene,tx,de_coef,de_se,de_pval,dv_coef,dv_se,dv_pval,de_pval_adj,dv_pval_adj
PANK1,species,-0.05609538089630532,0.03238355998209733,0.07577199763038342,0.22480543671927225,0.08009975465727362,0.003980593388227335,0.0956671664316805,0.05816993534989462
BUB3,species,-0.3531883266420297,0.044558733687565494,2.5182505420186597e-15,-0.1133432814917271,0.08830272637845052,0.20038224666576904,8.737195834664917e-15,0.5929263166301378
MMS19,species,-0.052198884380110666,0.03414225309007315,0.13465638148385298,-0.07866521598616917,0.08048189596262974,0.34828491190794164,0.16337476407809448,0.7274750205686071
PI4K2A,species,0.2973240860172547,0.050648218606372045,4.560447638659758e-09,-0.004564162387375056,0.11593641464634585,0.9742428542980179,1.1186970151370677e-08,0.9936956836761486
MCU,species,-0.18347735317401742,0.02181434779435843,3.1238569826796943e-17,-0.09066222522520413,0.05736016993223344,0.12031099370079534,1.1801904660176722e-16,0.4794221695051793
ADK,species,-0.11525064127188424,0.015706583516263518,2.8518363636699655e-13,0.08047089711363871,0.045270373824259975,0.05565667105370547,9.044428193292968e-13,0.3246088633710923
KCNMA1,species,-0.17025167190837714,0.058570762618615636,0.00365983359583714,-0.12456917885560838,0.15890700431633564,0.3814382431588481,0.005495342194513292,0.7521613914509315
PCGF6,species,0.0063856352228594355,0.03353961978280438,0.8622459527496864,-0.0729433238716111,0.08362728745637853,0.3511278764724172,0.8814169393470335,0.730477361619327
SFXN2,species,0.03678903230642394,0.03885566007367565,0.3440853800117676,0.16609145758295588,0.0883631406056842,0.0616426748015331,0.38706528225103976,0.34322571479437197
SUPV3L1,species,0.35383512030890174,0.05165293334413016,8.581182353241039e-12,-0.11715565978733986,0.11512279586917631,0.3086802391342498,2.5042782353816275e-11,0.6935821777860738
HK1,species,-0.06087176717926986,0.030994299030288504,0.05064174542662187,-0.15953019292249604,0.08278511850064518,0.05801748006541889,0.06559232331863281,0.3342632106691483
KAT6B,species,0.1230142059834855,0.018277927752648616,1.3359340223320422e-11,-0.03771068958429795,0.053393353281092404,0.5120144505790818,3.8501148400199835e-11,0.8384199412089118
SAMD8,species,-0.06036791618199732,0.031233188393017457,0.05205097485833053,0.011604630560977651,0.08579627220648002,0.9547659106554387,0.0673288523093443,0.9876089109622308
ARMC3,species,-0.015364806276770816,0.0414115346370257,0.6933498721906164,-0.002558235410521674,0.09350351834467349,0.9165103605541537,0.7295391722648055,0.9765739337544685
ARHGAP12,species,0.18147290072597252,0.02012837814560888,1.6231397114296176e-19,-0.17488299890017073,0.06959098882858031,0.015488007843435153,6.831437050995532e-19,0.1461898104816227
HECTD2,species,0.13118391952252098,0.036534125620234725,0.000318676600357267,0.5602351085525845,0.23629134360670745,0.015528958755996471,0.000540663666812437,0.14621398052652007
MARCHF8,species,0.20347121641779845,0.035019938517218935,7.0276731559776994e-09,0.025546985459278068,0.08105003899642689,0.7777503709459205,1.7037177413597492e-08,0.9341949083198687
PHYHIPL,species,0.18062116699788058,0.05601519079786338,0.0012899763744026625,0.03554249433080818,0.10483434319530527,0.7212794414275547,0.0020467798699402083,0.9171436145080761
SLC16A9,species,-0.09953880816676136,0.03233341285799968,0.002118504453374179,0.22422695368689574,0.07827329658195602,0.004407958382375782,0.0032767424773613605,0.06186633542452047
REEP3,species,0.08073179623368473,0.02517243925439263,0.001617736482588917,-0.067192761170155,0.07042136680220878,0.32661531200474697,0.0025335944673533996,0.7118423371363685
NUDT5,species,0.014859441684992715,0.03016857749966255,0.6302428598120703,-0.09470834359986909,0.08913804379775622,0.2863120080876936,0.6694999816028235,0.6747357960459364
BEND7,species,-0.0652037222149512,0.029222535426582902,0.02835491782867429,0.030088738525040442,0.07404420143899862,0.654015031386143,0.03826405148799129,0.890520640242095
ATP5F1C,species,0.05416983964990878,0.045569980593659076,0.24033448339675684,-0.08873214016005318,0.11223461413411646,0.47485316385332804,0.2792654017832253,0.8157388805235727
PRPF18,species,-0.026624908768306307,0.03094434096803315,0.3797540254487385,0.046974593998552035,0.08449146123707796,0.6109240574342896,0.4233729648437297,0.8768905093914364
TAF3,species,-0.03679432178071358,0.022125455482035167,0.09840581070259949,0.09642425048178702,0.058132872190352715,0.09913509125936246,0.1221835887150722,0.4366387044712088
PDZD8,species,-0.0989498562186582,0.022650251608626604,1.1986499238006628e-05,-0.12001683577726897,0.06544316286641193,0.06581473241418914,2.3080542985355893e-05,0.35601089128055335
ABRAXAS2,species,-0.018740642266801808,0.04816844595358598,0.7117573991146371,-0.04428014511356941,0.11039335133190752,0.661628199159259,0.7467089233839441,0.8938093953133562
FAM204A,species,0.05876521743465686,0.02063682543794148,0.004127230543760406,-0.02670315430961037,0.06452818216741993,0.6393259341653286,0.00616067714734086,0.8857299306345346
PRDX3,species,0.03384908053383779,0.051205345554842824,0.49727539766292245,-0.09578546842839414,0.10675681895312258,0.4522649061908267,0.5418682157208449,0.8016913700607206
GHITM,species,-0.14614457130724348,0.04753768344269391,0.0022233923072098863,-0.014998896812803647,0.10993451894112877,0.8808724768359211,0.003428184020255761,0.9661060475840686
STOX1,species,0.2659942766580371,0.041229333756104006,1.2728468758078328e-10,-0.07683239187671105,0.09166124819322996,0.41293849724396897,3.4662702243163083e-10,0.7762259162156216
DDX21,species,-0.17670538511393757,0.03185428484241604,2.7268534575542656e-08,-0.07818697022953389,0.08159284711507693,0.32143323756568637,6.357806015211042e-08,0.7062906969651834
BMS1,species,0.34430172500176554,0.028517831235934866,2.7439299442470567e-33,-0.06403944690179009,0.0807659883568069,0.41538507131285723,1.796234572995034e-32,0.7775612930146867
CCDC186,species,0.0005273921508785513,0.04231253840233042,0.9031878664058238,0.028466689928941826,0.09223944415321746,0.6806680662807549,0.9169502848247142,0.902516789665791
TRUB1,species,-0.16493211092029889,0.044171079664045924,0.0001615115342163074,-0.15963104425531213,0.09291270855036414,0.0829948800351373,0.0002814905080932407,0.4035347676530407
